Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,target_angle,load,delay,trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,pos0_2.started,pos0_2.stopped,pos45_2.started,pos45_2.stopped,pos90_2.started,pos90_2.stopped,pos135_2.started,pos135_2.stopped,pos180_2.started,pos180_2.stopped,pos225_2.started,pos225_2.stopped,pos270_2.started,pos270_2.stopped,pos315_2.started,pos315_2.stopped,response_2.started,response_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.956166800002393,None,space,1.0985844000024372,12.915857899999537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[-1, -1, 1]","[-1, -1, 1]",315,3,2,0,0,0,0,0,,,,,,,,,,,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,21.096876900002826,None,0.33796296296296297,-0.22592592592592592,1,0,0,7.013685699996131,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[1, -1, -1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[-1, 1, -1]",315,3,2,1,0,1,1,1,,,,,,,,,,,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,30.77649360000214,None,0.30185185185185187,-0.15925925925925927,1,0,0,7.012619020002603,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[1, 1, -1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[0, 0, 0]","[1, 1, -1]",90,3,2,2,0,2,2,2,,,,,,,,,,,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,39.27365779999673,None,0.012037037037037037,0.36944444444444446,1,0,0,7.010754460003227,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[-1, 1, -1]","[-1, -1, 1]","[0, 0, 0]","[-1, -1, 1]",270,3,2,3,0,3,3,3,,,,,,,,,,,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,48.253974899998866,None,-0.030555555555555555,-0.375,1,0,0,6.999000919997343,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]",135,3,2,4,0,4,4,4,,,,,,,,,,,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,57.53409680000186,None,-0.3074074074074074,0.3175925925925926,1,0,0,7.0078328600066015,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]",225,3,2,5,0,5,5,5,,,,,,,,,,,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,66.04822669999703,None,-0.24814814814814815,-0.23333333333333334,1,0,0,7.000914059994102,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[-1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[1, 1, 1]","[0, 0, 0]","[-1, -1, 1]",45,3,2,6,0,6,6,6,,,,,,,,,,,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,76.39455070000258,None,0.2722222222222222,0.3388888888888889,1,0,0,7.013684559999092,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[1, 1, -1]",180,3,2,7,0,7,7,7,,,,,,,,,,,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,85.14106439999887,None,-0.42407407407407405,0.04351851851851852,1,0,0,7.012307020006119,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[1, -1, 1]","[-1, 1, -1]","[-1, -1, 1]","[-1, 1, 1]","[1, -1, -1]","[1, 1, 1]","[0, 0, 0]","[-1, 1, 1]",180,7,2,0,0,8,8,8,,,,,,,,,,,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,93.8881251999992,None,-0.016666666666666666,-0.35462962962962963,1,0,0,7.002227160010079,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[-1, -1, 1]","[1, -1, 1]","[-1, 1, -1]","[1, -1, -1]","[-1, 1, 1]","[1, 1, 1]","[0, 0, 0]","[1, 1, -1]","[-1, 1, 1]",180,7,2,1,0,9,9,9,,,,,,,,,,,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,97.40383029999794,102.41886050000176,104.38472580000234,None,0.16018518518518518,0.2740740740740741,1,0,0,7.00174586000503,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[1, 1, 1]","[1, -1, -1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[-1, 1, -1]","[-1, -1, 1]","[1, -1, 1]",180,7,2,2,0,10,10,10,,,,,,,,,,,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,106.35073730000295,111.36545450000267,113.33145920000243,None,-0.40185185185185185,0.011111111111111112,1,0,0,7.000859660001879,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[-1, 1, -1]","[1, -1, -1]","[1, 1, 1]","[-1, -1, 1]","[-1, 1, 1]",135,7,2,3,0,11,11,11,,,,,,,,,,,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,115.23454089999723,120.24605419999716,122.22890170000028,None,-0.28055555555555556,0.23796296296296296,1,0,0,7.002359760001127,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[-1, 1, -1]","[1, -1, 1]","[-1, 1, 1]","[0, 0, 0]","[1, -1, -1]","[-1, -1, 1]","[1, 1, 1]","[1, 1, -1]","[-1, 1, 1]",90,7,2,4,0,12,12,12,,,,,,,,,,,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,124.02866879999783,129.0436348000003,131.0092635999972,None,-0.025,0.37962962962962965,1,0,0,7.0002583600071375,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, -1, -1]","[-1, -1, 1]","[1, -1, 1]","[1, 1, 1]","[-1, 1, -1]","[1, 1, -1]","[-1, 1, 1]","[0, 0, 0]","[-1, -1, 1]",45,7,2,5,0,13,13,13,,,,,,,,,,,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,133.02542330000142,138.040854699997,140.00592589999724,None,0.3055555555555556,0.2722222222222222,1,0,0,7.0009106600045925,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[-1, 1, 1]","[1, 1, 1]","[1, 1, -1]","[1, -1, 1]","[0, 0, 0]","[-1, 1, -1]","[-1, -1, 1]","[1, -1, -1]","[1, 1, -1]",90,7,2,6,0,14,14,14,,,,,,,,,,,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,141.67646770000283,146.6870471000002,148.6696490999966,None,-0.030555555555555555,0.4027777777777778,1,0,0,7.001298060007684,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, -1, 1]","[-1, -1, 1]","[1, 1, -1]","[-1, 1, 1]","[1, -1, -1]","[-1, 1, -1]","[1, 1, 1]","[-1, 1, -1]",270,7,2,7,0,15,15,15,,,,,,,,,,,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,150.80305919999955,155.81748730000254,157.7837553999998,None,0.22037037037037038,0.2064814814814815,1,0,0,7.00306406000891,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, 1, -1]","[1, -1, -1]","[-1, 1, 1]","[-1, 1, -1]","[-1, -1, 1]","[1, 1, 1]","[1, -1, 1]","[-1, -1, 1]",225,7,9,5,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,160.99815020000096,165.99776669999846,174.9944300999996,None,-0.18518518518518517,-0.25,1,0,0,14.009066520004126,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, 1, 1]","[-1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[-1, -1, 1]",90,3,9,3,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,176.7945114000031,181.80889030000253,190.78928879999876,None,0.14074074074074075,0.38981481481481484,1,0,0,13.999173160002101,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[1, 1, -1]",225,3,9,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,192.62213760000304,197.63661039999715,206.6006023000009,None,-0.21296296296296297,-0.19444444444444445,1,0,0,13.9996804600014,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[-1, 1, 1]","[1, 1, 1]","[-1, 1, -1]","[1, -1, 1]","[0, 0, 0]","[1, 1, -1]","[1, -1, -1]","[-1, -1, 1]","[1, -1, -1]",270,7,9,3,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,207.97479249999742,212.98173269999825,221.96171199999662,None,0.2814814814814815,0.22314814814814815,1,0,0,14.009276220000174,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[-1, 1, -1]","[-1, 1, 1]","[1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[1, -1, -1]","[1, -1, 1]","[1, -1, -1]",270,7,9,0,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,223.57823479999934,228.59313149999798,237.55680720000237,None,0.3055555555555556,0.31296296296296294,1,0,0,14.001182960004371,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[-1, -1, 1]","[1, 1, -1]","[1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[-1, 1, -1]","[1, -1, -1]","[1, -1, 1]",180,7,9,7,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,239.36405879999802,244.3710168999969,253.3514148000031,None,-0.3731481481481482,0.12037037037037036,1,0,0,14.008810619998258,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[1, 1, 1]",135,3,9,6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,254.91038719999779,259.91573600000265,268.89634990000195,None,0.020370370370370372,0.31851851851851853,1,0,0,14.005659220005327,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, -1, -1]","[-1, 1, -1]","[0, 0, 0]","[1, 1, -1]","[1, -1, 1]","[-1, 1, 1]","[1, 1, 1]","[-1, -1, 1]","[-1, 1, 1]",225,7,9,1,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,272.17368230000284,277.176518100001,286.1573427999974,None,0.2490740740740741,0.3,1,0,0,14.001116119994549,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[0, 0, 0]","[-1, 1, 1]","[0, 0, 0]","[-1, 1, -1]","[-1, 1, -1]",315,3,9,5,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,288.0062061999997,293.0213395999963,302.00126530000125,None,0.17314814814814813,0.2611111111111111,1,0,0,14.013938160009275,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[-1, 1, -1]",315,3,9,0,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,302.69210130000283,307.6997265000027,316.67952749999677,None,0.22777777777777777,0.2675925925925926,1,0,0,14.009346420003567,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[-1, 1, -1]","[-1, 1, 1]","[1, 1, -1]","[1, -1, -1]","[1, -1, 1]","[0, 0, 0]","[1, 1, 1]","[-1, -1, 1]","[-1, -1, 1]",315,7,9,4,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,318.59698590000335,323.61125889999676,332.59137770000234,None,0.30277777777777776,0.325,1,0,0,14.00783906000288,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[1, -1, 1]","[-1, 1, 1]","[1, 1, 1]","[1, -1, -1]","[-1, 1, -1]","[-1, -1, 1]","[0, 0, 0]","[1, 1, 1]",135,7,9,2,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,334.6146804000018,339.62218089999806,348.60266440000123,None,-0.25555555555555554,0.25,1,0,0,14.009009519999381,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[-1, 1, 1]",315,3,9,4,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,351.02202099999704,356.0337961999976,365.0142190999977,None,0.3212962962962963,0.22407407407407406,1,0,0,14.000245060000452,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[-1, -1, 1]","[0, 0, 0]","[1, 1, -1]","[0, 0, 0]","[1, -1, 1]","[0, 0, 0]","[-1, -1, 1]",90,3,9,7,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,371.8943747000012,376.9092556999967,385.873379800003,None,0.30833333333333335,0.3287037037037037,1,0,0,13.999132860000827,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, 1, 1]","[1, -1, 1]","[1, -1, -1]","[-1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[-1, 1, -1]","[-1, 1, 1]",180,7,9,6,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,389.10537589999876,394.1207319000023,403.1011193000013,None,0.28425925925925927,0.2935185185185185,1,0,0,14.00725536000391,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[0, 0, 0]","[1, -1, -1]","[0, 0, 0]","[-1, 1, -1]",180,3,9,1,,,,,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,404.38628849999805,409.39863460000197,418.3789917999966,None,0.28425925925925927,0.2935185185185185,1,0,0,14.00326576000225,None,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
